,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,5,11,3.994622,0.5555721,18.73981,1,0.4624302,7.180562,7,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,11,2.101966,0.7324667,20.84177,0,0.5048058,1.432985,8,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,2.5,5.5,1.795561,0.6720089,22.63732,0,0.4907266,7.688942,9,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,11,1.92192,0.5328646,24.55923,0,0.4750114,0.4750114,10,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,2.5,11,2.185415,0.5562074,26.74466,0,0.5041223,0.5041223,11,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,5.5,2.255378,1.364085,29.00004,0,0.4497965,0.9096681,12,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,5,5.5,,0.7663037,34.26279,3,0.5050933,9.467624,13,,,,,,,,,,
W5,7/27/2022 15:02,1,WRIST_ARM,GS2,G,0,11,2.359518,0.790267,36.62228,0,0.4653517,0.488137,14,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,5,11,2.262485,0.2025789,38.88475,0,0.4465041,8.469149,15,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,11,1.82407,0.5967503,40.70881,0,0.5080193,0.5080193,16,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,11,2.04624,0.4034094,42.75506,0,0.453137,2.627811,17,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,2.5,5.5,1.866501,0.3045329,44.62157,1,0.510416,0.510416,18,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,1.697726,0.6696899,46.31929,0,0.489925,0.4689329,19,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,5,5.5,1.935424,0.5454412,48.25473,0,0.4574243,13.3432,20,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,2.140976,0.9966071,50.39571,0,0.4843914,0.4399762,21,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,5,5.5,2.06326,0.3093216,52.45898,0,0.4627738,0.4627738,22,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,0,5.5,2.032809,0.6508519,54.49179,0,0.4872479,0.4872479,23,,,,,,,,,,
W5,7/27/2022 15:03,1,WRIST_ARM,GS2,G,2.5,11,2.10224,0.4183539,56.594,0,0.4830493,6.662564,24,,,,,,,,,,
