,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time_o,checkpoint_time,object_view_time,,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
,3,WRIST_ARM,GS2,G,5,10.5,2.237627,2.237627,0.5010437,,0,0.2858863,0.2858863,0.5029067,0.110003,328.5284,W3,C0,6
,3,WRIST_ARM,GS2,G,0,10.5,2.049825,2.049825,0.6877108,,0,0.318729,0.2761588,9.996119,4.681293,11.17209,W3,C0,7
,3,WRIST_ARM,GS2,G,5,7.5,2.171328,2.171328,0.5859531,,0,0.318729,0.2761588,0.5022543,0.09694719,326.4211,W3,C0,8
,3,WRIST_ARM,GS2,G,0,10.5,2.02125,2.02125,0.5178521,,0,0.318729,0.2761588,0.4459905,-0.3489473,10.43262,W3,C0,9
,3,WRIST_ARM,GS2,G,5,7.5,1.916082,1.916082,0.6099476,,0,0.3422703,0.3270703,7.009299,-4.88746,327.2578,W3,C0,10
,3,WRIST_ARM,GS2,G,0,10.5,2.370158,2.370158,0.7159234,,0,0.3422703,0.3270703,10.01116,4.660398,10.13287,W3,C0,11
,3,WRIST_ARM,GS2,G,0,7.5,1.47502,1.47502,0.515601,,0,0.2770788,0.3329659,7.011197,-0.1849917,356.3729,W3,C0,12
,3,WRIST_ARM,GS2,G,0,10.5,1.907588,1.907588,0.5035301,,0,0.2770788,0.3329659,9.941695,-0.1487805,355.6755,W3,C0,13
,3,WRIST_ARM,GS2,G,5,10.5,1.767486,1.767486,0.2638433,,0,0.2685475,0.2685475,9.988688,-4.9244,328.5071,W3,C0,14
,3,WRIST_ARM,GS2,G,0,10.5,3.121035,3.121035,0.4731464,,1,0.318614,0.2867971,9.946107,4.673558,11.95992,W3,C0,15
,3,WRIST_ARM,GS2,G,0,7.5,1.600867,1.600867,0.2920828,,0,0.318614,0.2867971,0.4854677,-0.2172621,359.0309,W3,C0,16
